ENGINE,DATA_FREE,VERSION,CHECK_TIME,TABLE_ROWS,TABLE_TYPE,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,ROW_FORMAT,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH,AUTO_INCREMENT,AVG_ROW_LENGTH
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_CMP,def,<blank>,max_rows=5368709,104857600,utf8mb3_general_ci,0,NULL,25
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_GLOBAL_INFO,def,<blank>,max_rows=29026,133985024,utf8mb3_general_ci,0,NULL,4624
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_CMP_RESET,def,<blank>,max_rows=5368709,104857600,utf8mb3_general_ci,0,NULL,25
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,THREAD_POOL_QUEUES,def,<blank>,max_rows=4473924,125829120,utf8mb3_general_ci,0,NULL,30
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_SYS_VIRTUAL,def,<blank>,max_rows=7895160,95070885,utf8mb3_general_ci,0,NULL,17
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_CFSTATS,def,<blank>,max_rows=114618,133646230,utf8mb3_general_ci,0,NULL,1171
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_BUFFER_PAGE_LRU,def,<blank>,max_rows=37712,134177859,utf8mb3_general_ci,0,NULL,3559
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_TRX,def,<blank>,max_rows=40172,134094376,utf8mb3_general_ci,0,NULL,3341
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_LOCKS,def,<blank>,max_rows=4330,134173026,utf8mb3_general_ci,0,NULL,30994
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,TABLE_STATISTICS,def,<blank>,max_rows=113647,133876979,utf8mb3_general_ci,0,NULL,1181
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,INNODB_CMPMEM,def,<blank>,max_rows=4628197,121634816,utf8mb3_general_ci,0,NULL,29
MEMORY,0,11,NULL,NULL,SYSTEM VIEW,NULL,2025-06-11 04:32:59,0,NULL,Y,0,information_schema,Fixed,ROCKSDB_CF_OPTIONS,def,<blank>,max_rows=76959,133604352,utf8mb3_general_ci,0,NULL,1744
